Unnamed: 0,Title,URL,Author,Average_rating,Rating,Reviews,Pages,Year,Series,Setting,Awards,Genres,Awards_no,Adaptations
24,The Glass Castle,https://www.goodreads.com//book/show/7445.The_Glass_Castle,Jeannette Walls,4.28,952021.0,52491.0,288.0,2006.0,0,"['New York City', ' New York  United States', '    West Virginia  United States', ' ']","['ALA Alex Award (2006), Lincoln Award Nominee (2008)']","['Nonfiction', ' Autobiography', ' Biography']",2.0,0
285,"The Lies of Locke Lamora (Gentleman Bastard, #1)",https://www.goodreads.com//book/show/29588376-the-lies-of-locke-lamora,Scott Lynch,4.26,240892.0,15658.0,752.0,2006.0,1,['Camorr'],"[""Locus Award Nominee for Best Fantasy Novel and Best First Novel (2007), World Fantasy Award Nominee for Best Novel (2007), Compton Crook Award Nominee (2007), Grand Prix de l'Imaginaire Nominee for Roman étranger (2008), Tähtifantasia Award Nominee (2008)\n...more\nBritish Fantasy Award Nominee for Best Novel (2007)""]","['Fantasy', ' Fiction', ' Adventure']",6.0,0
417,"Ptolemy's Gate (Bartimaeus, #3)",https://www.goodreads.com//book/show/59264.Ptolemy_s_Gate,Jonathan Stroud,4.26,80562.0,2199.0,501.0,2006.0,1,['United Kingdom'],"[""Locus Award Nominee for Best Young Adult Novel (2006), Mythopoeic Fantasy Award for Children's Literature (2006), Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2006)""]","['Fantasy', ' Young Adult', ' Fiction']",3.0,0
575,102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers,https://www.goodreads.com//book/show/177187.102_Minutes,Jim Dwyer,4.26,8693.0,1043.0,384.0,2006.0,0,"['New York State  United States', ' ']",['National Book Award Finalist for Nonfiction (2005)'],"['Nonfiction', ' History', ' Crime']",1.0,0
23,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com//book/show/28187.The_Lightning_Thief,Rick Riordan,4.26,2125650.0,64852.0,377.0,2006.0,1,"['New York City', ' New York  United States', '    Montauk', ' New York  United States', '    New Jersey  United States', '    …more St. Louis', ' Missouri  United States', '    Las Vegas', ' Nevada  United States', '    Long Island', ' New York  United States', '    …less']","[""Young Readers' Choice Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008)\n...more\nMassachusetts Children's Book Award (2008), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008), Rhode Island Teen Book Award Nominee (2007), Sunshine State Young Readers Award for Grades 6-8 (2007), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2008), Iowa Teen Award (2009), Lincoln Award Nominee (2009), Oklahoma Sequoyah Award for YA (2008), Rebecca Caudill Young Readers' Book Award (2009)""]","['Fantasy', ' Young Adult', ' Fantasy']",14.0,1
994,"Locked Rooms (Mary Russell and Sherlock Holmes, #8)",https://www.goodreads.com//book/show/93940.Locked_Rooms,Laurie R. King,4.26,13609.0,885.0,488.0,2006.0,1,"['San Francisco', ' California  United States', ' ']",[],"['Mystery', ' Historical', ' Fiction']",,0
872,"Burned (Burned, #1)",https://www.goodreads.com//book/show/270807.Burned,Ellen Hopkins,4.25,58381.0,3828.0,431.0,2006.0,1,"['Nevada  United States', ' ']",[],"['Young Adult', ' Poetry', ' Fiction']",,0
98,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://www.goodreads.com//book/show/28186.The_Sea_of_Monsters,Rick Riordan,4.24,805697.0,29093.0,279.0,2006.0,1,"['Miami', ' Florida  United States', '    Atlantic Ocean  Bermuda Triangle', ' 2006      ']",[],"['Fantasy', ' Young Adult', ' Fantasy']",,1
251,"The Dark Tower (The Dark Tower, #7)",https://www.goodreads.com//book/show/5091.The_Dark_Tower,Stephen King,4.24,154978.0,5999.0,1050.0,2006.0,1,,['British Fantasy Award for Best Novel (2005)'],"['Fantasy', ' Fiction', ' Horror']",1.0,0
215,Team of Rivals: The Political Genius of Abraham Lincoln,https://www.goodreads.com//book/show/2199.Team_of_Rivals,Doris Kearns Goodwin,4.24,164720.0,7323.0,916.0,2006.0,0,"['Springfield', ' Illinois', ' 1860  United States', '    Chicago', ' Illinois', ' 1860  United States', '    Illinois', ' 1860  United States', ' ']","['Benjamin Barondess Award (2006), Lincoln Prize (2006), National Book Critics Circle Award Nominee for Biography (2005), New-York Historical Society American History Book Prize']","['History', ' Nonfiction', ' Biography']",4.0,0
525,"The Last Kingdom (The Saxon Stories, #1)",https://www.goodreads.com//book/show/68527.The_Last_Kingdom,Bernard Cornwell,4.24,78913.0,4384.0,351.0,2006.0,1,['England'],[],"['Historical', ' Fiction', ' Historical']",,0
890,"Noughts & Crosses (Noughts & Crosses, #1)",https://www.goodreads.com//book/show/714902.Noughts_Crosses,Malorie Blackman,4.23,54585.0,4065.0,479.0,2006.0,1,,"[""FCBG Children’s Book Award (2002), Sheffields Children's Book of the Year (2002), Wirral Children’s Paperback of the Year Award (2003), Lancashire Children’s Book of the Year Award (2002), North East Teenage Book Award Nominee (2002)\n...more\nPremio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2009)""]","['Young Adult', ' Romance', ' Fiction']",6.0,0
445,Sold,https://www.goodreads.com//book/show/201114.Sold,Patricia McCormick,4.22,51706.0,6166.0,268.0,2006.0,0,['Nepal'],"[""South Carolina Book Award Nominee for Young Adult Book Award (2009), Rhode Island Teen Book Award Nominee (2008), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2009), California Young Readers Medal for Young Adult (2009), Lincoln Award Nominee (2009)\n...more\nJames Cook Book Award Nominee (2007), National Book Award Finalist for Young People's Literature (2006), Missouri Gateway Readers Award Nominee (2009), Audie Award Finalist, Package Design""]","['Young Adult', ' Fiction', ' Realistic Fiction']",10.0,0
